Not in Core,Source,List,Name,Flavor,Category,Frequency,Tier,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defense,Hit,Miss,Effect,Special,Boost,Key Ability,Secondary Ability,Tradition,Sources,Details,Maintain Action,Maintain Text
,Ancestries,Ancestries,Lucky,,Utility,Encounter,Feature,,Counter,Self,,,An attack hits you.,,,,,Reroll the attack roll and take the second result.,,,,,,,,,
,Ancestries,Ancestries,Momentum Blow,,Attack,Encounter,Feature,,Free,Self,,You have made an attack after moving at least two spaces this turn.,,,,,,"If your attack hits, the target also falls prone. ",,,,,,,,,
,Ancestries,Ancestries,Poisonous Nip,Your fangs excrete a mild poison.,Attack,Encounter,Feature,"Focus, Poison",Swift,Melee,"1, one target",,,Dexterity or Constitution,AC,"1d8 + your Dexterity or Constitution modifier poison damage.
*Level 11:* Attack bonus increases to +4. 2d8 + modifier damage.
*Level 21:* Attack bonus increases to +6. 3d8 + modifier damage.",,,,,,,,,,,
,Ancestries,Ancestries,Psychic Leap,,Attack,Encounter,Feature,Psychic,Move,Near,"burst 5, self or one ally",,,,,,,The target jumps up to 3 squares. This movement does not provoke opportunity attacks. ,,,,,,,,,
,Ancestries,Ancestries,Relentless Endurance,,Utility,Encounter,Feature,,Free,Self,,You are staggered.,,,,,,Gain temporary hit points equal to your level plus your Constitution modifier. ,,,,,,,,,
,Ancestries,Ancestries,Shape Magic,,Utility,Encounter,Feature,Zone,Swift,Far,"burst 3 within range 10, one conjuration, summon or zone",,,,,,,"If the target is a conjuration or summon, you can move it to any unoccupied space in the burst. If the target is a zone, squares of your choice in the burst cease to be part of the zone and an equal number of squares in the burst become part of the zone.",,,,,,,,,
,Ancestries,Ancestries,Sleep Dart,,Utility,Encounter,Feature,Focus,Standard,Ranged,"10, one creature",,,"Dex, Wis or Cha (your choice)",Will,"The target is dazed until the end of your next turn or until it takes damage or a creature within reach uses a standard action to shake it awake. If it is still dazed at the end of your next turn, it falls unconscious for an hour or until it takes damage or is shaken awake (whichever happens sooner). ",,,,,,,,,,,
,Ancestries,Ancestries,Soften,,Attack,Encounter,Feature,Focus,Swift,Melee,"touch, one creature",,,"Str, Con or Int (your choice)",Fortitude,"The target loses its resistances and one immunity of your choice (save ends). If the creature has no resistances or immunities, it instead gains vulnerability to untyped damage 5 (save ends). If the target is an object, the effect lasts for five minutes (no save) and its break DC is also reduced by 5. ",,,,,,,,,,,
,Ancestries,Ancestries,Stomp,,Attack,Encounter,Feature,Focus,Standard,Near,"burst 1, all creatures",,,"Str, Con or Wis (your choice)",Fortitude,The target falls prone. ,,,,,,,,,,,
,Ancestries,Ancestries,Supernatural Beauty,,Attack,Encounter,Feature,"Focus, Illusion, Psychic",Swift,Near,"burst 5, all enemies",,,,,,,The target grants you combat advantage until the end of your next turn.,,,,,,,,,
,Ancestries,Ancestries,Tough as Nails,,Utility,Encounter,Feature,,Swift,Self,,,,,,,,You rally.,,,,,,,,,
,Ancestries,Ancestries,Travel Bug,,Attack,Encounter,Feature,Focus,Swift,Ranged,"10, one creature",,,"Con, Int or Wis (your choice)",Fortitude,The target is dazed until the end of their next turn. ,,,,,,,,,,,
,Ancestries,Ancestries,True Grit,,Utility,Encounter,Feature,,No,Self,,,You fail a saving throw or miss with an attack roll,,,,,Add a +4 ancestry bonus to the roll/throw.,,,,,,,,,
,Ancestries,Ancestries,Vengeance of the Pits,,Attack,Encounter,Feature,Fire,Free,Near ,"burst 10, one enemy",,An attack by that enemy hits you.,,,,,"The target takes 1d6 + Intelligence OR Charisma modifier fire damage. 
*Level 11:* 2d6 + Intelligence OR Charisma modifier. 
*Level 21:* 3d6 + Intelligence OR Charisma modifier. ",,,,,,,,,
,Ancestries,Ancestries,Violent Rush,,Utility,Encounter,Feature,,Free,Self,,,You hit with an attack.,,,,,"Attack does +1dW. If attack was not with a weapon, +1d8 instead.",,,,,,,,,
,Ancestries,Ancestries,Animal Form,,Utility,Daily,Feature,,Swift,Self,,,,,,,,"You take one of the following forms. You cannot make attacks in this form. You remain in the form until you are reduced to 0 HP or below, take a long rest or take a new form. You can return to your original form as a swift action.  
• Tiny, Small or Medium amphibian or riverine or ocean-going mammal. Swim speed equal to your land speed.  
• Tiny or Small water bird. You gain a flight speed of 4 if you choose a water bird (maximum altitude 2).  ",,,,,,,,,
,Bonds,Bonds,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Bonds,Golemrider: Juggernaut,Repair Module,,Utility,Encounter,,Healing,Swift,Self,,,,,,,,You can spend a recovery to heal your recovery value in HP. ,,,,,,,,,
,Bonds,Knight,"Look Out, Sir",,Utility,Encounter,,,Counter,Near,"burst 1, one ally",,You are the target of an attack.,,,,,"The target ally can replace you as the target of the attack, if they wish.",,,,,,,,,
,Bonds,Knight,Rally the Troops,,Utility,Encounter,,,Swift,Near,"burst 5, one ally",,,,,,,"The target can take the rally action as a free action, if they are eligible to do so.",This does not count against the maximum number of times a character can use the rally action in an encounter. ,,,,,,,,
,Bonds,Revenant,Shadowswarm,"You vomit forth a cloud of screaming, shadowy bats.",Attack,Encounter,,"Focus, Necrotic, Zone",Standard,Near,burst 2,,,,,,,"A zone is created in the area of effect until the end of the encounter. The zone grants concealment to creatures within it and against ranged attacks that pass through it. Any enemy within the cloud that makes a ranged or far attack suffers an opportunity attack.
*Opportunity attack:* Your Charisma vs AC; 1d10 + your level + your Charisma necrotic damage, and the target is rattled until the end of its next turn.",,,,,,,,,
,Bonds,Tyrfing,The Twin,,Attack,Daily,,Conjuration,Standard,Near,"burst 10, one unoccupied square",,,,,,,You conjure a Medium floating sword in the target square. You can spend a move action to have the sword fly up to 6 squares. Creatures that begin their turn adjacent to the floating sword take 10 persistent damage (save ends). The sword remains until the end of your next turn.,,,,,,,,Swift,The sword remains until the end of your next turn.
,Class,Commander,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Class,Commander,Lift Spirits,,Utility,Encounter,1,"Healing, Martial",Swift,Near,"burst 5 (10 at level 11, 15 at level 21), one ally or yourself",,,,,,,The target spends a recovery and heals their recovery value plus your Charisma modifier. ,,,,,,,,,
,Class,Priest,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Class,Priest,Censure Undead,You present your holy symbol and speak a prayer censuring the undead. ,Attack,Encounter,Feature,"Divine, Focus, Radiant",Standard,Near,"burst 2 (Level 11: 5; Level 21: 8), all undead",,,Wisdom,Will,"1d8 + Wisdom modifier radiant damage. Target is pushed 3 + your Charisma modifier and immobile until the end of your next turn.
*Level 5:* 2d8 + Wisdom modifier damage; *Level 11:* 3d8 + Wisdom modifier damage; *Level 15:* 4d8 + Wisdom modifier damage; *Level 21:* 5d8 + Wisdom modifier damage; *Level 25:* 6d8 + Wisdom modifier damage.",Half damage. Target is pushed squares equal to your Charisma modifier. ,,,,,,,,,,
,Class,Priest,Infuse with Life,,Utility,Encounter,Feature,Divine,Swift,Near,"burst 5 (Level 11: 10; Level 21: 15), self or one ally",,,,,,,"Target spends a recovery and heals their recovery value +1d6.
*Level 6:* 2d6; *Level 11:* 3d6; *Level 16:* 4d6; *Level 21:* 5d6; *Level 26:* 6d6.",,,,,,,,,
,Class,Guardian,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Class,Guardian,Block Retreat,,Utility,At-Will,Feature,Martial,Free,,,,"A creature is hit by your opportunity attack, and the opportunity attack was provoked by movement.",,,,,"Their movement stops for this action. They may attempt to move again using another action, if applicable. ",,,,,,,,,
,Class,Guardian,Punish Cowardice,,Utility,At-Will,Feature,Martial,Counter,,,,An adjacent creature you have marked shifts or makes an attack that does not include you.,,,,,Make a basic melee attack against the triggering creature. ,This is not an opportunity attack.,,,,,,,,
,Class,Harlequin,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Class,Harlequin,General Confusion,,Utility,At-Will,Feature,Martial,Swift,Near,"5, one creature marked by yourself or one of your allies",,,,,,,"The target is no longer marked by that character, and is instead marked by yourself or the ally of your choice until the end of your next turn.",,,,,,,,,
,Class,Harlequin,Hasty Retreat,,Utility,At-Will,Feature,Martial,Swift,Self,,,,,,,,Shift 1.,,,,,,,,,
,Class,Mageblade,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Class,Mageblade,Beacon Sigil,,Utility,At-Will,Feature,"Arcane, Teleport, Weapon",Reaction,Near,"burst 5, the triggering enemy",,A creature marked by your *sigil* makes an attack that does not include you as a target,,,,,Teleport to an unoccupied square adjacent to the target and make a basic melee attack against them.,,,,,,,,,
,Class,Mageblade,Blurring Sigil,,Utility,At-Will,Feature,"Arcane, Weapon",Counter,Near,"burst 10, the triggering enemy",,A creature marked by your *sigil* makes an attack that does not include you as a target,,,,,"Any one target of the triggering creature’s attack gains resistance to all damage equal to your level + your Dexterity modifier, until the end of the current turn.",,,,,,,,,
,Class,Mageblade,Fiery Sigil,,Utility,At-Will,Feature,"Arcane, Fire, Weapon",Reaction,Near,"burst 10, the triggering enemy",,A creature marked by your *sigil* makes an attack that does not include you as a target,,,,,The triggering creature takes 1d6 + your Charisma modifier fire damage. *Level 11:* 2d6 + your Charisma modifier damage. *Level 21:* 3d6 + your Charisma modifier damage. ,,,,,,,,,
,Class,Mageblade,Mageblade’s Sigil,,Utility,At-Will,Feature,Arcane,Swift,Near,"burst 2, one target",,,,,,,The target is marked until you use this power again. ,,,,,,,,,
,Class,Mageblade,Vortex Sigil,,Utility,At-Will,Feature,"Arcane, Teleport, Weapon",Counter,Near,"burst 5, the triggering enemy",,A creature marked by your *sigil* attempts to make an attack that does not include you as a target,,,,,"The triggering creature teleports to an unoccupied square of your choice adjacent to you. If it now arranges the attack so that it includes you as a target, the attack goes ahead. Otherwise it misses all targets.",,,,,,,,,
,Class,Reaper,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Class,Reaper,Sprouting Overwatch,You cover a person or area and attack anything that gets too close.,Attack,At-Will,Feature,"Spirit, Weapon, Zone",Move,Far,burst 1 within range 10,,,,,,,"You can make a regular ranged basic attack against one creature that enters any square of the target area as an immediate interrupt until the start of your next turn. After you make this attack, all enemies treat the area as difficult terrain until the start of your next turn.",,,,,,,,,
,Class,Reaper,Grasping Vines,,Attack,Encounter,Feature,Spirit,Swift,Near,"burst 1, all enemies",,,,,,,The target is pushed 1 and slowed until the end of your next turn. ,"*Level 11:* Range is now burst 2.
*Level 21:* Range is now burst 3.",,,,,,,,
,Class,Reaper,Spirit’s Prank,,Attack,Encounter,Feature,Spirit,Free,Self,,,Your ranged attack misses a target,,,,,Make a ranged basic attack against a creature within 5 of the triggering target.,,,,,,,,,
,Class,Reaper,Unleashed Spirit,,Attack,Encounter,Feature,"Spirit, Weapon",Reaction,Melee,"weapon, the triggering enemy",,A melee attack misses you.,,,1dW + Strength modifier damage and push 1. ,,,,,,,,,,,
,Class,Sylvan,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Class,Sylvan,Companion Rampage,,Attack,At-Will,Feature,"Spirit, WeaponorFocus",No,Special,"range, one creature",,You hit with an attack,,,,,"The target must be within Melee reach of you, or of your animal companion. The target takes damage equal to 2 + your Charisma modifier. ","You can use this power once per round.  
*Level 11:* Special range, one or two creatures.
*Level 21:* Special range, all enemies.",,,,,,,,
,Class,Sylvan,Fearful Rampage,,Attack,At-Will,Feature,"Fear, Psychic, Spirit, WeaponorFocus",No,Melee,"touch, one creature",,You hit with an attack,,,,,The target takes damage equal to 2 + your Wisdom modifier and is shunted 1. ,"You can use this power once per round.  
*Level 11:* Melee touch, one or two creatures.
*Level 21:* Melee touch, all enemies.",,,,,,,,
,Class,Sylvan,Swift Rampage,,Attack,At-Will,Feature,"Spirit, WeaponorFocus",No,Melee,"touch, one creature",,You hit with an attack,,,,,The target takes damage equal to 2 + your Dexterity modifier. You shift 1.,"You can use this power once per round.  
*Level 11:* Melee touch, one or two creatures.
*Level 21:* Melee touch, all enemies.

",,,,,,,,
,Class,Warrior,Warrior’s Surge,,Attack,Encounter,1,Martial,Free,Self,,,You make a basic attack or use an at-will attack power with a weapon.,,,,,"On a hit, you do an additional +1dW damage. ",,"**Level 7** As above, and choose one:  
• On a hit, the target is knocked prone.  
• On a hit, the target is immobile until the end of your next turn.  
• The attack’s reach increases by 1.  
• On a hit, do damage equal to your Constitution modifier to all enemies adjacent to you other than the target.  
• On a hit, you may shift 1 square.  
• On a hit, shunt all enemies adjacent to you other than the target 1 square.  
*Level 17:* As above, but +2dW damage instead.  
*Level 27:* As above, but +3dW damage instead. ",,,,,,,
,Combat,Combat,Chapter,,,,0,,,,,,,,,,,,,,,,,,,,
,Combat,Combat,Basic Melee Attack,,Attack,At-Will,Feature,Weapon,Standard,Melee,"weapon, one creature",,,Strength,AC,"1dW + Strength modifier damage.  
*Level 21:* 2dW + Strength modifier damage.",,,,,,,,,,,
,Combat,Combat,Basic Ranged Attack,,Attack,At-Will,Feature,Weapon,Standard,Ranged,"weapon, one creature",,,Dexterity,AC,"1dW + Dexterity modifier damage.  
*Level 21:* 2dW + Dexterity modifier damage.",,,Heavy thrown weapons use Strength not Dexterity for the attack and damage rolls.  ,,,,,,,,
,Combat,Combat,Deter,,Attack,At-Will,Feature,,Standard,Near,"eyesight or earshot, one enemy",,,Intimidate check,"Will. Targets get a +5 bonus to their Will defense if unfriendly, or +10 if hostile. They gain a further +5 bonus if you do not speak in a language that they understand.",The target cannot take an action of your choice until the end of their next turn. ,The target cannot be the target of your Deter or Unnerve action again until the end of this encounter.,The target becomes hostile if it was not already.,,,,,,,,,
,Combat,Combat,Grapple,,Attack,At-Will,Feature,Weapon,Standard,Melee,"touch, one enemy no more than one size larger than you",You must have a hand free.,,Strength,Reflex,,,"The target is grappled. You can release the target whenever you like (as a free action). If either of you ceases to be adjacent to the other (for example through unwilling movement affecting either of you), the grapple ends. ",You succeed automatically if the target is incapacitated. ,,,,,,,,
,Combat,Combat,Shove,,Attack,At-Will,Feature,Weapon,Standard,Near,"burst 1, one enemy that is no more than one size larger than you",,,Strength,Fortitude,You push the target 1 square and may shift into the space it left. ,,,,,,,,,,,
,Combat,Combat,Unnerve,,Attack,At-Will,Feature,,Standard,Near,"eyesight and earshot, all staggered enemies",,,Intimidate,Will +10. Targets get a further +5 bonus if you do not speak in a language that they understand.,The target surrenders. ,The target cannot be the target of your Deter or Unnerve action again until the end of this encounter.,,,,,,,,,,
,Combat,Combat,Create Diversion,,Attack,Encounter,Feature,,Standard,Near,"eyesight, all enemies",,,Bluff check,target’s passive Insight score,You have the momentary diversion you need to attempt a Stealth check while people are aware of you. ,,,,,,,,,,,
,Combat,Combat,Feint,,Attack,Encounter,Feature,,Standard,Near,"burst 1, one enemy",,,Bluff check,target’s passive Insight score,You gain combat advantage against the target until the end of your next turn. ,,,,,,,,,,,
,Combat,Combat,Rally,,Utility,Encounter,Feature,,Standard,Self,,,,,,,,You spend one of your recoveries and regain your recovery value in HP. You also get +2 to all defenses until the start of your next turn. ,,,,,,,,,
,Discipline,Angel’s Trumpet,Chapter,,,,0,,,,,,,,,,,,,,Charisma,Wisdom,Martial,"Commander, Priest (classes), Embodies Charisma, Worships the God of Peace (kits)","You inspire and direct your allies, without getting your hands dirty with any actual fighting yourself. 
<figure><img src=""MiguelSantos_MAGCLERICEND.png"" alt=""Cleric by Miguel Santos"" style=""zoom: 100%;"" /><figcaption>Cleric by Miguel Santos</figcaption></figure>",,
,Discipline,Angel’s Trumpet,Identify Target,,Attack,At-Will,1,"Focus, Martial",Standard,Ranged,"10, one enemy",,,Charisma,Will,The target grants combat advantage until the end of your next turn. The first ally to hit the target with an attack heals 1d6 + your Charisma modifier HP.,,,,,,,,,,,
,Discipline,Angel’s Trumpet,Make Room,There are others in a better position. You give them the opening they need.,Attack,At-Will,1,Martial,Standard,Near,"earshot, one ally",,,,,,,"The target makes a basic attack against an enemy of your choice, and gains a bonus to damage rolls for the attack equal to your Charisma modifier.  
*Level 21:* Use as a move action instead of a standard action.",,,,,,,,,
,Discipline,Angel’s Trumpet,Quick Save,A quick word or push allows an ally a momentary improvement to their accuracy.,Attack,Encounter,1,Martial,Counter,Near,"earshot, the triggering ally",,One ally misses with an attack roll against a creature you can see.,,,,,The target may reroll the attack. ,,,,,,,,,
,Discipline,Angel’s Trumpet,Targeted Call,,Attack,Encounter,1,Martial,Standard,Near,"burst 10, one ally",,,,,,,"Choose one ally. They make a basic melee or ranged attack. If they hit, they gain temporary HP equal to your Wisdom modifier.  ",,,,,,,,,
,Discipline,Angel’s Trumpet,Break Will,,Attack,Daily,1,"Focus, Martial, Psychic",Standard,Near,"burst 3, all enemies",,,Charisma,Will,The target is weakened (save ends).,,,,,,,,,,,
,Discipline,Angel’s Trumpet,Geometric Strategy,There’s a whole machine that works because everyone does what they are supposed to.,Attack,Daily,1,Martial,Reaction,Near,"earshot, the triggering ally",,One ally hits with an attack.,,,,,The target’s attack deals +3dW damage.,,,,,,,,,
,Discipline,Angel’s Trumpet,No One Hits The Chief,You’re hit and your comrades don’t take kindly to that.,Attack,Daily,1,Martial,Move,Near,"earshot, two allies",,,,,,,The target makes a basic attack against one creature that hit you since the start of your last turn.,,,,,,,,,
,Discipline,Angel’s Trumpet,Rescuing Angel,,Attack,Daily,1,"Focus, Martial",Reaction,Near,"burst 10, one ally",,An ally in range is reduced to 0 HP or below,,,,,"Choose one ally. They make a basic melee or ranged attack against the creature that made the attack, and can add your Charisma modifier to their attack and damage. You move your speed. If you end your move adjacent to the original ally, they can spend a recovery to heal their recovery value plus your Wisdom modifier.",,,,,,,,,
,Discipline,Angel’s Trumpet,An Ounce of Prevention,,Utility,Encounter,2,Martial,Counter,Near,"burst 10, one ally",,An ally in range is hit by an attack.,,,,,The ally can spend a recovery to gain temporary hit points equal to their recovery value.,,,,,,,,,
,Discipline,Angel’s Trumpet,Hold Fast,"You push the heads down of those around you, keeping them from the line of fire.",Utility,Encounter,2,Martial,Move,Near,"burst 1, two allies or you and one ally",,,,,,,The target gains resistance to all damage equal to your Charisma modifier until the start of your next turn.,,,,,,,,Move,"The effect persists until the end of your next turn. If either target leaves its current square, the effect ends."
,Discipline,Angel’s Trumpet,Encouraging Peal,You let out shouts of encouragement to bolster your allies in battle.,Utility,Daily,2,Martial,Swift,Near,"burst 5, all allies",,,,,,,Targets receive a +2 power bonus on attack rolls and add your Charisma modifier to damage until the end of the encounter.,,,,,,,,,
,Discipline,Angel’s Trumpet,Inspire the Troops,"“Come on, say a few words …”",Utility,Daily,2,Martial,Standard,Near,"burst 5, two allies",,,,,,,"The target gains a +2 power bonus to all attack rolls until the start of your next turn. The target gains an additional move action on their next turn, and can trade two move actions for one standard action.",,,,,,,,,
,Discipline,Angel’s Trumpet,Pride Leader’s Stance,"By adopting the mannerisms of commanding lions of the great savannahs, you inspire heroics by your presence.",Utility,Daily,2,"Martial, Stance",Swift,Self,,,,,,,,Allies within 10 squares (including yourself) have a +2 power bonus to Will defense and on saving throws.,,,,,,,,,
,Discipline,Angel’s Trumpet,The Strength Within,,Utility,Daily,2,Martial,Swift,Near,"burst 10, one ally or yourself",,,,,,,"The target can spend a recovery to heal their recovery value, and add your Charisma modifier to damage rolls until the end of your next turn.",,,,,,,,,
,Discipline,Angel’s Trumpet,Call to Action,"By having a watchful eye on the flow of combat, you know when to spur an ally into a better position.",Attack,Encounter,3,"Martial, Weapon",Standard,Near,"burst 10, one enemy",,,,,,,Choose two allies. Each ally chooses one: they may charge the target or make a basic melee or ranged attack against them. ,,,,,,,,,
,Discipline,Angel’s Trumpet,Rallying Instruction,,Attack,Daily,5,Martial,Standard,Near,"burst 10, one ally",,,,,,,The target regains one recovery. The target can make a basic melee or ranged attack. They do +2dW damage if they hit.,,,,,,,,,
,Discipline,Angel’s Trumpet,Golden Commander Stance,"Through the use of your superior tactical ability, you are able to direct your allies in combat for maximum effectiveness. ",Utility,Encounter,6,"Martial, Stance",Swift,Self,,,,,,,,Any enemies within 10 that are flanked by any allies (including yourself) count as flanked by all of your allies.,,,,,,,,,
,Discipline,Angel’s Trumpet,Inherit Toughness,"With a cry to defend themselves from incoming attacks, your inspirational words aid your allies in their defense.",Utility,Daily,6,"Healing, Martial",Swift,Near,"burst 5, all allies and yourself",,,,,,,Each target heals 10 + your Charisma modifier HP.,,,,,,,,,
,Discipline,Angel’s Trumpet,No One Left Behind,You grab an ally by the shoulder and drag them to safety.,Utility,Encounter,6,"Healing, Martial",Move,Melee,"touch, one staggered ally",,,,,,,"Spend a recovery, but do not regain hit points; instead, the target regains hit points as if they had spent a recovery. You and the target shift a number of squares equal to 1+ your Charisma modifier. You and the target must be adjacent at the end of the shift.",,,,,,,,Move,You and the target shift a number of squares equal to 1 + your Charisma modifier squares. You and the target must be in adjacent squares at the end of the shift.
