Name,Description,Details,Power,Powerlc,Ability 1,Ability 2,Ability 3,Speed,Languages,LLV,Darkvision,Skill Bonus 1,Skill Bonus 2,Feat 1 Name,Feat 1 Desc,Feat 2 Name,Feat 2 Desc,Feat 3 Name,Feat 3 Desc,
Gnoll,Medium natural humanoid,"Gnolls are humanoid hyenas with a reputation for wildness and cunning. Gnolls often exhibit a strong sense of loyalty to their pack (including their ""chosen pack"", which can include non-gnolls), valuing camaraderie but with little patience for fools and the naive. ",Violent Rush,violent rush,Strength,Constitution,Charisma,6 squares,"Common, Abyssal",True,,Athletics,Perception,Vigor,Add your Constitution modifier to your recovery value.,Natural Weapon – Bite,"You are proficient with a martial weapon, your claws. Your bite is a martial one-handed weapon in the heavy blades category (proficiency +3, 1d8 damage), although it requires no hands to use.",,,
Grynloc,Medium natural humanoid,"Grynlocs are seven-foot tall, lanky hairless humanoids with legs that bend backwards, like a horse's. Their long, toothy mouths make them look a little like camels. They are nomadic desert-dwellers who can literally see magic instead of light when they lower a special lid across their eyes. Their ability to shape magic allows them to write messages invisible to the naked eye and craft beautiful raiments of pure magic that require special sight or a *detect magic* invocation to see.",,,Dexterity,Intelligence,Wisdom,6 squares,"Common, Primordial",,,Arcana,Perception,Magic Sight,"You can, to a range of 12 squares, see invisible creatures and objects, automatically detect visual illusions and succeed on saving throws against them, and perceive the original form of a shapechanger or a creature that is transformed by magic.",Grynloc Gifts,"Once per encounter, you can use *shape magic* or *distraction*.",,,
Half-Giant,Medium natural humanoid (giant),"Half-giants typically stand from 7 feet to nearly 8 feet tall. Despite their name, they are their own people and not the product of relations between giants and other humanoids. Half-giants tend to be proud, and see themselves as natural leaders. ",Stomp,stomp,Strength,Constitution,Wisdom,6 squares,"Common, Giant",,,Athletics,Diplomacy,Powerful Build,"You have a +2 ancestry bonus to checks to escape a grapple. When you are the target of any attack or power that has a different effect based on the target’s size, you may choose to be treated as size Large instead of size Medium for the purposes of that attack.  ",Unmoved,"You may reduce any unwilling movement you are subject to by 1 square. When you would fall prone as the result of an attack, make a saving throw – on a success, you do not fall.",,,
Hobgoblin,Medium natural humanoid (goblinoid),"Hobgoblins are bright-skinned (often red or blue) humanoids with pointed ears and heavy brows. They are known for their discipline, honor and rigid hierarchical societies. ",Careful Focus,careful focus,Strength,Constitution,Dexterity,6 squares,"Common, Goblin",,,History,Intimidate,Go for the Jugular,+1 ancestry bonus on attacks against staggered enemies.,Heavy Blade Weapon Proficiency,You have proficiency with martial weapons in the heavy blades category.,,,
Hoddydod,Small natural humanoid,"Hoddydod, also known as snailfolk, are a small folk with humanoid upper bodies and the lower bodies of snails, slugs or other molluscs. They tend to be reclusive and scholarly, and obedient to the demands of horoscopes and the pull of ley lines. ",Travel Bug,travel bug,Constitution,Intelligence,Wisdom,"5, climb 5",Common and one extra language of your choice.,,,Heal,Nature,Slimy Coating,"After each short rest you gain temporary hit points equal to your Constitution modifier (2 + Con at level 11, 5 + Con at level 21). ",,,,,
Mephit,"Small elemental humanoid (air, cold, earth, fire)","Mephits are small, winged imps from the elemental planes. They are mischevious and clever, and often talkative to a fault among strangers and friends alike. Mephits delight in wallowing in the element with which they are associated. Air mephits are resistant to lightning and thunder. Ice mephits are resistant to cold. Earth mephits are resistant to acid. Fire mephits are resistant to fire. ",Breath Weapon,breath weapon,Dexterity,Intelligence,Charisma,6 squares,"Common, Primordial",,True,Arcana,Religion,Under-Developed Wings,"You have a fly speed of 6, but you fall at the end of your turn and your maximum altitude is 1.",Resistance to X,Resistance to the specified damage type(s) 5 + half your level.,,,
Minotaur,Medium natural humanoid,"Strong and imposing half-bull, half-humans, minotaurs are often characterized by their courage, determination, and sometimes a struggle to reconcile their fierce instincts with their human-like emotions.",Momentum Blow,momentum blow,Strength,Intelligence,Wisdom,6 squares,Common and one extra language of your choice.,,True,Dungeoneering,Religion,Maze Mind,"When you are the target of an attack with the Psychic tag, the attacker is rattled (save ends). ",Wandering Charge,"When you charge, you do not need to move in a straight line. ",,,
Quickling,Medium fey humanoid ,"Quicklings are are nimble and hyperactive fey, with their speed making them adept scouts and messengers. However, their frenetic nature can lead to impulsive decisions and a tendency to be easily distracted.",Deceptive Motion,deceptive motion,Dexterity,Intelligence,Charisma,7 squares,"Common, Elven",True,,Acrobatics,Stealth,Hide in a Flash,"When you make an initiative check, if you are in cover or concealment, you can make a Stealth check to hide (takes no action).",,,,,
Rook,Medium elemental humanoid (earth),"Tall humanoids with stony skin, rooks have a reputation for moodiness and solemnity - but they are respected for their knowledge and determination. Rooks usually build their homes in high places, perched on cliffs or mountaintops.",,,Strength,Constitution,Intelligence,6 squares,"Common, Giant",,,Diplomacy,Endure,Heart of Stone,"You do not make death saving throws. You still die if reduced to negative hit points equal to your maximum hit points. While unconscious, you do not need to breathe nor do you get hungrier or thirstier.  ",Will Defense,+1 ancestry bonus to Will defense. ,Rook Power,Each rook has one of the following powers: *soften* or *gargoyle's rest*.,
Selkmay,Medium natural humanoid (shapechanger) ,"Selkmays are those who have been claimed by nature spirits, or otherwise bound to wild places. They can take the forms of animals of the water, and each is blessed with a fearsome beauty. Selkmays often feel a duty to serve the community and fight evil. ",Supernatural Beauty,supernatural beauty,Dexterity,Wisdom,Charisma,6 squares,Common and one extra language of your choice.,,,Acrobatics,Heal,Tongue of Salt and Spray,You can speak with riverine and ocean-going mammals and water birds. ,Animal Form ,You can use *animal form* once a day.,,,
Shadow Elf,Medium shadow humanoid,"Shadow elves are enigmatic beings from the Plane of Shadow, the descendents of refugees from the Seelie–Unseelie wars on the Plane of Faerie. They are known for their haunting beauty and inclination towards secrecy and intrigue. ",Highblood Teleport,highblood teleport,Dexterity,Intelligence,Wisdom,6 squares,"Common, Elven",True,,Bluff,Insight,Minor Magics,You know the *ghost sound* power from the Cantrips discipline.,Trance,"You don’t need to sleep. Instead, you meditate deeply, remaining semiconscious, for 4 hours a day. While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. Your 4-hour trance has the same effect as a 6-hour long rest.",,,
Spriggan,Small fey humanoid,"Spriggans are mischievous and diminutive fey creatures, at home in forests and more wild places. Spriggans are short-tempered, and when gripped by powerful emotions can swell to gigantic size.",Giant Form,giant form,Strength,Constitution,Wisdom,5 squares,"Common, Elven",True,,Athletics,Intimidate,Injured Rage,+1 ancestry bonus on attack rolls while staggered.,,,,,
Vishya,Medium natural humanoid (reptile),"Vishyas are graceful humanoids with venomous fangs and serpentine eyes. Their supple skin is covered with tiny scales, often of a light green, which are sometimes arrayed in patterns not unlike those of a serpent. ",Poisonous Nip,poisonous nip,Constitution,Dexterity,Charisma,6 squares,"Common, Draconic",True,,Acrobatics,Bluff,Hold Breath,+5 ancestry bonus to Endure checks to hold your breath. ,Swamp Stride,"Mud, marsh and shallows are not difficult terrain for you. ",Whistle,Vishya can communicate using high-pitch whistles that adults cannot hear but dogs and children can. ,
Whom,Small natural humanoid,Whoms are humanoid wombats who live in burrows underground. ,Barrel Along,barrel along,Strength,Constitution,Wisdom,5 squares,"Common, Dwarvish",True,,Dungeoneering,Insight,Whom Weapon Proficiencies,You have proficiency with martial weapons of the Pick group. ,Just Keep Digging,"When you make Endure checks as part of a group check or extended challenge, or to Aid Another, roll twice and take the higher result. ",Burrow,You have a burrow speed of 1 square. Your burrow cannot extend too far or it risks caving in, you must double back to the surface after burrowing for 5 squares. 
