Name,Level,Type,Category,Skill,Completion Time,Components,Cost to Learn,Duration,Description
Liquid Tread,5,Transportation,Incantation,Arcana,1 hour,A piece of cork and 40 gp,40 gp,8 hours,"This incantation grants one target the ability to move across any liquid surface - such as water, acid, mud, snow, quicksand, or lava - as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). 

If you target a creature submerged in a liquid, the incantation carries the target to the surface of the liquid at a rate of 12 squares per round.  

**Arcana check:** With a DC 15 Arcana check, you can choose up to 10 targets for this incantation."
Meld into Stone,5,Practical,Incantation,Arcana,1 hour,40 gp,40 gp,8 hours,"You step into a stone object or surface large enough to fully contain your body, melding yourself and all the equipment you carry with the stone for the duration. Using your movement, you step into the stone at a point you can touch. Nothing of your presence remains visible or otherwise detectable by nonmagical senses.  

State a trigger. When that trigger is satisfied you are expelled from the stone and the incantation ends. Otherwise, you must wait for the 8 hour duration to end. 

While merged with the stone, you can hear but not see what occurs outside it. You remain aware of the passage of time while merged in the stone. 

Minor physical damage to the stone doesn’t harm you, but its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 bludgeoning damage to you. If expelled, you fall prone in an unoccupied space closest to where you first entered.  

**Arcana check:** If you succeed on a DC 15 Arcana check at the time of casting, while melded in stone you can use your movement to leave the stone whenever you want, instead of waiting for the trigger. You leave the stone from where you entered it, and doing so ends the incantation. "
Sorcerous Gills,5,Practical,Incantation,Arcana,1 hour,"A short reed or piece of straw, and 40 gp",40 gp,24 hours,"This incantation grants a willing creature the ability to breathe underwater until the incantation ends. Affected creatures also retain their normal mode of respiration.   

**Arcana check:** With a DC 15 Arcana check, you can choose up to 10 targets for this incantation."
Spectral Steed,5,Crafting,Incantation,Arcana,1 hour,40 gp,40 gp,8 hours,"A Large quasi-real, horselike creature appears on the ground in an unoccupied space of your choice within range. You decide the creature’s appearance, but it is equipped with a saddle, bit, and bridle. Any of the equipment created by the incantation vanishes in a puff of smoke if it is carried more than 2 squares away from the steed.  

For the duration, you or a creature you choose can ride the steed. The creature uses the statistics for a riding horse, except it has a speed of 20 squares and can travel 10 miles in an hour, or 13 miles at a fast pace. When the incantation ends, the steed gradually fades, giving the rider 1 minute to dismount. The incantation ends if you use a swift action to dismiss it or if the steed takes any damage. 

**Arcana check:** With a DC 15 Arcana check, the steed can also walk on water as if the *liquid tread* incantation had been used on it. With higher Arcana check DCs, the steed may have other movement abilities like the ability to phase through objects or to fly (with a maximum altitude, or without a maximum altitude with an even higher DC). "
Tiny Hut,5,Crafting,Incantation,Arcana,1 hour,A small crystal bead (40 gp),40 gp,8 hours,"An immobile dome of force springs into existence in a 2-square burst around and above you and remains stationary for the duration. The incantation ends if you leave its area.  

The incantation fails if its edge intersects a creature. Creatures and objects within the dome when you cast this incantation can move through it freely. All other creatures and objects are barred from passing through it. The atmosphere inside the space is comfortable and dry, regardless of the weather outside.  

Until the incantation ends, you can command the interior to become dimly lit or dark. The dome is opaque from the outside, of any color you choose, but it is transparent from the inside.  

**Arcana check:** With a DC 15 Arcana check, the dome’s burst radius is 4 squares instead of 2. "
Contact Other Plane,9,Divination,Incantation,Arcana,1 hour,168 gp,168 gp,1 minute,"You mentally contact a demigod, the spirit of a long-dead sage, or some other mysterious entity from another plane. Contacting this extraplanar intelligence can strain or even break your mind. When you cast this incantation, make a DC 19 Arcana check. On a failure, you take 6d6 psychic damage and are overawed until you finish a long rest. While overawed, you can’t understand what other creatures say, can’t read, and speak only in gibberish. A *restoration* art used on you ends this effect.  

On a successful check, you can ask the entity up to five questions. You must ask your questions before the incantation ends. The GM answers each question with one word, such as “yes,” “no,” “maybe,” “never,” “irrelevant,” or “unclear” (if the entity doesn’t know the answer to the question). If a one-word answer would be misleading, the GM might instead offer a short phrase as an answer. "
Call Forth the Dweller,11,Divination,Incantation,Arcana,1 hour,Forty-two mystic symbols inscribed around the perimeter of the target doorway (requiring materials costing 360 gp),360 gp,8 hours,"This incantation contacts the enigmatic, extradimensional being known as the Dweller on the Threshold, an entity that imparts knowledge about its specific obsession: doors and other entrances.  

To cast *call forth the Dweller*, the caster must inscribe forty-two mystic symbols around an open doorway, then begin the chants and supplications required for the incantation.  

If the incantation succeeds, an image of the Dweller—an inky mass of tentacles and mouths—appears on the other side of the doorway. The Dweller on the Threshold truthfully answers any questions it is asked about a particular door. For example, the Dweller can provide a magical password that unlocks a door, indicate how to disarm a trap on a door, reveal the weaknesses of a door’s guardian, or describe the room that lies beyond the door. Its answers are clear and fairly specific, if somewhat terse. The caster may well appreciate such concise answers, because one of the forty-two symbols inscribed around the doorway during the casting of the incantation fades away with each word the Dweller on the Threshold speaks—and when all the symbols are gone, the Dweller disappears.  

If the caster asks the Dweller on the Threshold a question that doesn’t involve doors, the Dweller responds with a cutting insult, often about something the caster thought was secret. Each word of the insult likewise makes a symbol disappear from the perimeter of the doorway.  

The exact nature of the Dweller on the Threshold is shrouded in mystery."
Hrothgar’s Journey,11,Transportation,Incantation,Arcana,1 hour,"A windowless, thatched hut in a forest (360 gp)",360 gp,Instantaneous,"*Hrothgar’s journey* is an incantation based on the tale of Hrothgar, a powerful barbarian hero from ages past. When the poetic epic of Hrothgar is recited in the stifling heat of a sweat lodge during the winter solstice, the orator and his listeners receive the same final reward that Hrothgar did: a one-way trip to Asgard’s Valhalla, where they can drink and make merry with the greatest warriors of myth.  

To cast the incantation, the caster must construct a small, windowless hut in the middle of the forest, then build a bonfire in the hut’s center. At least four and up to twelve others accompany the caster into the hut. Other participants must provide the dialogue for other characters in the epic of Hrothgar. Then the flames are lit and the telling of the tale of Hrothgar begins.  

Because the bonfire is large and the hut is small, the atmosphere inside quickly gets stiflingly hot. Any creature inside the hut must make an Endure check (DC 20) every 10 minutes or suffer the effects of severe heat (lose a recovery).  

Just as the tale of Hrothgar approaches its conclusion (near the end of the casting time), the bonfire’s flames light the hut on fire, which creates a great deal of smoke but no additional heat or damage. The flames consume the hut’s roof and walls, revealing Valhalla. If the caster succeeds on a DC 19 Arcana check, they can choose the exact location in Valhalla that the party appears.  

<figure><img src=""pics\LuigiCastellani_LOKOSSAPALACE.png"" alt=""Palace by Luigi Castellani"" style=""zoom: 100%;"" /><figcaption>Palace by Luigi Castellani</figcaption></figure>"
Summon Item,11,Conjuration,Incantation,Arcana,1 hour,A sapphire (720 gp),360 gp,Permanent,"You touch an object weighing 10 pounds or less whose longest dimension is 6 feet or less. The incantation leaves an invisible mark on its surface and invisibly inscribes the name of the item on the sapphire you use as the material component. Each time you cast this incantation, you must use a different sapphire.  

At any time thereafter, you can use your standard action to speak the item’s name and crush the sapphire. The item instantly appears in your hand regardless of physical or planar distances, and the incantation ends.  

If another creature is holding or carrying the item, crushing the sapphire doesn’t transport the item to you, but instead you learn who the creature possessing the object is and roughly where that creature is located at that moment.  

*Dismiss magic* or a similar effect successfully applied to the sapphire ends this incantation’s effect. 

**Arcana check:** With an Arcana check, the object can weigh more than 10 pounds (the number of pounds is the DC of the Arcana check). "
Telepathic Bond,11,Divination,Incantation,Arcana,1 hour,"Pieces of eggshell from two different kinds of creatures, one rare (360 gp)",360 gp,8 hours,"You forge a telepathic link among up to eight willing creatures of your choice in the area, psychically linking each creature to all the others for the duration. Creatures with Intelligence scores of 2 or less aren’t affected by this incantation.  

Until the incantation ends, the targets can communicate telepathically through the bond whether or not they have a common language. The communication is possible over any distance, though it can’t extend to other planes of existence.  

**Arcana check:** With a DC 19 Arcana check, the duration is 1 week. "
Plane Walk,13,Transportation,Incantation,Arcana,1 hour,"A forked, metal rod (680 gp), attuned to a particular plane of existence",680 gp,Instantaneous,"You and up to eight willing creatures who link hands in a circle are transported to a different plane of existence. You can specify a target destination in general terms, such as the City of Brass on the Elemental Plane of Fire, and you appear in or near that destination.   

Alternatively, if you know the sigil sequence of a teleportation circle on another plane of existence, this incantation can take you to that circle. If the teleportation circle is too small to hold all the creatures you transported, they appear in the closest unoccupied spaces next to the circle.  

**Arcana check:** With a DC 28 Arcana check, you appear in the exact place you specify on the plane. "
Moving Castle,21,Practical,Incantation,Arcana,24 hours,"18,000 gp","9,000 gp",Permanent,"Select a dwelling somewhere between a hut and a small castle in size. The dwelling lifts itself off the ground and grows one of the following means of transport:   

* **Levitation:** The dwelling floats over the ground and over water, giving it fly 6 (hover, maximum altitude 2).  
* **Chicken Legs:** The dwelling runs along the ground, giving it speed 12.    
* **Rollers:** The dwelling moves on treads on the ground, giving it speed 8 - but it ignores difficult, obstructing and other terrain.   

The dwelling follows your spoken instructions if they are given from within or just outside the dwelling, about as faithfully as a dim but well-meaning dog might.   "
Chapter,0,,,Athletics,,,,,
Weight Distribution,2,Trick,Practice,Athletics,1 minute,1 recovery,21 gp,One day,"Count your load as if it were one step lighter than it actually is (light load instead of a medium load, etc)."
Chapter,0,,,Bluff,,,,,
Teach Cant,1,Lesson,Practice,Bluff,1 week,28 gp,14 gp,Instantaneous,"The subject of a *teach cant* lesson learns the cant used by thieves, urchins and demi-mondaines. A character who learns this art learns cant along with it, if they did not already know it."
Backup Disguise,2,Trick,Practice,Bluff,10 minutes,21 gp,21 gp,Until your next long rest,"You prepare a specific disguise that you keep at the ready, worn underneath your outer garment. You can change into this disguise as a standard action. Having a backup disguise doesn’t allow you to remove your armor or any other complex piece of clothing any more quickly, but once you have those off, the disguise is readily available. Because you have the backup disguise at the ready, it’s possible that a thorough search might reveal some elements of the disguise."
Use Magic Device,2,Trick,Practice,Bluff,*,1 recovery,21 gp,Instantaneous,"You use a magic item or other magical device even if you do not meet the prerequisites to do so. You must succeed on a Bluff check (easy DC based on the level of the magic item or device) in order to do so. If you fail, there may be negative consequences depending on the item or device. The completion time is double the normal time it takes to activate the item. "
Hidden Magic,6,Trick,Practice,Bluff,10 minutes,72 gp,72 gp,1 year,"You carefully tweak a magic item to appear non-magical according to incantations, powers and skills that observe magical auras."
Social Identity,6,Trick,Practice,Bluff,1 week,"144 gp of bribes, materials, etc.",72 gp,Instantaneous,"You create a social identity, with its own name, alignment, and abilities. This identity is not a false front; you really are your social identity as well as your original identity, and as such, your two identities can be at most one alignment step from each other. 

Changing from one identity to the other takes 1 minute and must be done out of sight from other creatures. As this process involves both physical changes such as clothing and makeup along with an altered state of mind, other effects that change your appearance don’t reduce the time required to change identities.

Your two identities are completely distinct. You have your current identity’s alignment for effects that rely on alignment, though you are eligible for abilities that require a certain alignment (such as an artifact that only respects good characters) only if both of your identities qualify. Researching one of your identities don’t reveal information about the other unless the person attempting the research knows both identities are the same person. Effects that detect you based on your identity work only if you are currently in the identity the effect is trying to detect; otherwise, the effect fails as if the target didn’t exist."
Nameless One,15,Trick,Practice,Bluff,1 week,"1,000 gp","1,000 gp",Instantaneous,"You eschew all of your former identities, going as far as to render your former name completely inaccessible to discover by mortal means. After this practice, you forever lose all names and identities previously associated with you. You adopt a brief descriptive title in place of a new name. 

At the art’s conclusion, you must don the mask created for the art, the appearance of which is evocative of your title. While you’re wearing this mask, any attempts to scry or otherwise locate any of your eschewed identities or connect you to those identities do not work, revealing nothing but darkness, as if you were an invalid target or did not exist."
Chapter,0,,,Diplomacy,,,,,
Teach Signs,1,Lesson,Practice,Diplomacy,1 week,28 gp,14 gp,Instantaneous,"The subject of a *teach signs* lesson learns a basic sign language. A character who learns this art learns a basic sign language along with it, if they did not already know it."
Dealmaker,5,Interaction,Practice,Diplomacy,1 hour,1 recovery,40 gp,Instantaneous,"You have the air of a person with money, allowing you to buy and sell valuables that otherwise are too rich for the local community. When looking to buy or sell an item that would normally be outside that available for sale or purchase in the local community, make a Diplomacy check (DC depends on the level of the item and the size of the community). On a success, you’re able to sell or purchase that item. "
Entourage,7,Interaction,Practice,Diplomacy,1 week,208 gp,104 gp,Instantaneous,"You have a small group of admirers who tend to follow you around while you’re in civilized settlements. Your admirers are helpful to you, allowing you to make simple requests of them such as purchasing basic equipment with your funds or finding a room at an inn. These admirers do not travel with you to places that are obviously dangerous, including most adventure locations, but they’ll wait for you at the nearest settlement."
Chapter,0,,,Endure,,,,,
Eschew Food,2,Trick,Practice,Endure,1 hour,1 recovery,21 gp,Instantaneous,"You no longer need to eat to survive. You can end this craft at any time. Until you do so, you cannot regain the recovery you spent on this craft. "
Eschew Water,8,Trick,Practice,Endure,1 hour,1 recovery,136 gp,Instantaneous,"You no longer need to drink water to survive. You can end this craft at any time. Until you do so, you cannot regain the recovery you spent on this craft. "
Eschew Air,12,Trick,Practice,Endure,1 hour,1 recovery,520 gp,Instantaneous,"You no longer need to breathe air to survive. You can end this craft at any time. Until you do so, you cannot regain the recovery you spent on this craft. "
Eschew Sleep,14,Trick,Practice,Endure,1 hour,1 recovery,840 gp,Instantaneous,"You no longer need to sleep. You can stay awake at all times without penalties, and can have the benefits of a long rest once a day by spending an hour in quiet meditation. You can end this craft at any time. Until you do so, you cannot regain the recovery you spent on this craft. "
Eschew Aging,17,Trick,Practice,Endure,1 hour,1 recovery,"2,600 gp",Instantaneous,"You no longer age through the passing of time. You can end this craft at any time. Until you do so, you cannot regain the recovery you spent on this craft. "
Chapter,0,,,Heal,,,,,
Embalm Corpse,1,Treatment,Practice,Heal,1 hour,embalming fluids (14 gp),14 gp,10 days,"You treat a corpse or other remains. For the duration, the target is protected from decay and can’t become undead.

The craft also effectively extends the time limit on raising the target from the dead, since days spent under the influence of this incantation don’t count against the time limit of crafts and incantations such as *raise dead*.

**Religion check:** With a successful DC 12 Religion check, the duration is 100 days. "
Forensic Examination,1,Treatment,Practice,Heal,1 hour,14 gp,14 gp,Instantaneous,"You check for evidence such as wound patterns, learning how a body was injured or killed. 

**Heal check:** With a successful Heal check (variable DC), you learn important clues about events surrounding the death."
Restoration,7,Treatment,Practice,Heal,24 hours,Healing herbs (208 gp),104 gp,Instantaneous,"The target of the restoration treatment is cured of poison, disease, fatigue, petrification or similar maladies of your level or lower (or no level). Scars begin to fade and stubborn wounds close. This craft cannot restore missing limbs. 

**Heal check:** With a successful Heal check (moderate DC based on the malady’s level), you can treat maladies of a level higher than your own. "
Experimental Resurrection,15,Treatment,Practice,Heal,1 hour,"Reagents and a generator (2,000 gp)","1,000 gp",Instantaneous,"The target of the experimental resurrection is brought back to life. The subject must have died within the last 24 hours, and their body must be intact. 

<figure><img src=""pics\JoyceMaureira_MAGSPELL1.png"" alt=""Magic Spell 1 by Joyce Maureira"" style=""zoom: 33%;"" /><figcaption>Magic Spell 1 by Joyce Maureira</figcaption></figure>"
Chapter,0,,,History,,,,,
Delve into Collective Memory,3,Divination,Incantation,History,10 minutes,27 gp,27 gp,Instantaneous,"You can learn information from the memories of others, even those long dead. This practice allows you to find out information that you could not possibly know yourself. Make the relevant knowledge skill check, adjusted as follows:  
*A substantial minority of people know this information:* +0 DC.  
*Only a few people know this information:* +5 DC. 
*Only very few people know this information, and possibly those who once knew it have forgotten it or those who know it don’t understand the significance of what they know:* +10 DC. 
*No one alive knows this information:* +15 DC. "
Chapter,0,,,Insight,,,,,
Biographical Eye,5,Information,Practice,Insight,1 minute,1 recovery,40 gp,Instantaneous,"In even a brief conversation or social interaction, you pick up on subtle social and visual cues to learn a great deal about a person’s origin and history. You might notice bits of green under the person’s fingernails and determine they’re an herbalist, a pin indicating their membership in a secret society, or something similar. You pick up on only details that have to do with their societal role, so you might learn the city district where a vampire lives, but wouldn’t learn any of their weaknesses, nor necessarily even that they are a vampire.

Spend 1 minute, then attempt an Insight check. You gain a +2 circumstance bonus to the check if you engaged the person in conversation during this time. If the person is deliberately trying to conceal their nature or present a false identity, you learn about their false biography rather than their true one unless the result of your Insight check exceeds their Bluff check. 

*Success (DC 10):* You learn the creature’s profession and the region of the world they hail from, but no more.  
If you beat the DC by 10 or more, you learn the creature’s profession and specialty within that profession. You learn the nation or settlement where they normally live.  
If you beat the DC by 20 or more, you learn learn the creature’s profession, their specialty within that profession, and a major accomplishment or controversy from their career. You also learn the nation and settlement where they live, as well as the district in a city large enough to have districts. In addition, you learn the nation or settlement where they spent their formative years.

*Failure:* You learn a piece of erroneous information about the creature."
Chapter,0,,,Nature,,,,,
Detect Poison and Disease,1,Divination,Incantation,Nature,10 minutes,A gilt yew leaf (14 gp),14 gp,10 minutes,"For the duration, you can sense the presence and location of poisons, poisonous creatures, and diseases within 6 squares of you. You also identify the kind of poison, poisonous creature, or disease in each case.  

The incantation can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.  "
Intuit Direction,1,Information,Practice,Nature,1 minute,1 recovery,14 gp,Instantaneous,"You learn which way is north.

**Nature check:** On a DC 12 Nature check, you also learn how many miles you are from your destination. "
Purify Food and Drink,1,Practical,Incantation,Nature,1 hour,14 gp,14 gp,Instantaneous,Select a square within 12 squares of you. All nonmagical food and drink within the square is purified and rendered free of poison and disease.  
Speak with Animals,1,Divination,Incantation,Nature,1 hour,14 gp,14 gp,1 hour,"You gain the ability to comprehend and verbally communicate with beasts for the duration. The knowledge and awareness of many beasts is limited by their intelligence, but at minimum, beasts can give you information about nearby locations and monsters, including whatever they can perceive or have perceived within the past day. You might be able to persuade a beast to perform a small favor for you, at the GM’s discretion.  "
Teach Trick,1,Lesson,Practice,Nature,1 week,*,14 gp,Instantaneous,"Animals and other unintelligent creatures can be taught a trick using this method. The component cost equals the cost of a consumable item of the creature’s level. An animal can be taught multiple tricks over the week, but multiply the component cost by the number of tricks taught. 

* Attack: The animal attacks apparent enemies. You may point to a particular creature that you wish the animal to attack, and it will comply if able. Normally, an animal will attack only humanoids, monstrous humanoids, giants, or other animals. Teaching an animal to attack all creatures (including such unnatural creatures as undead and aberrations) takes twice as long.
* Come: The animal comes to you, even if it normally would not do so.
* Defend: The animal defends you (or is ready to defend you if no threat is present), even without any command being given. Alternatively, you can command the animal to defend a specific other character.
* Down: The animal breaks off from combat or otherwise backs down. An animal that doesn’t know this trick continues to fight until it must flee (due to injury, a fear effect, or the like) or its opponent is defeated.
* Fetch: The animal goes and gets something. If you do not point out a specific item, the animal fetches some random object.
* Guard: The animal stays in place and prevents others from approaching.
* Heel: The animal follows you closely, even to places where it normally wouldn’t go.
* Perform: The animal performs a variety of simple tricks, such as sitting up, rolling over, roaring or barking, and so on.
* Seek: The animal moves into an area and looks around for anything that is obviously alive or animate.
* Stay: The animal stays in place, waiting for you to return. It does not challenge other creatures that come by, though it still defends itself if it needs to.
* Track: The animal tracks the scent presented to it. 
* Work: The animal pulls or pushes a medium or heavy load."
Spirit Speaker,2,Divination,Incantation,Nature,10 minutes,Incense (21 gp),21 gp,1 minute,"When an animal dies, its spirit lingers briefly before moving on. Using low chants, body language that shows respect, and special movements that demonstrate to the spirit that you are an ally, you glean information from a spirit before it departs. You ask one simple question of the spirit. Attempt a Nature check at a DC determined by the GM (normally, this is the appropriate DC for the level of the animal or beast when it was alive). Regardless of the result of your check, the spirit immediately departs and can’t be used for Spirit Speaker again. 

If you succeed, the spirit answers you truthfully. The spirit’s answer is likely to be terse or cryptic compared to normal communication with an animal, and it can pertain only to things the creature directly experienced or considered important. The spirit doesn’t remember anything that happened more than 1 day ago.

If you fail, the spirit doesn’t answer you. If you fail by 10 or more, the spirit is wracked with misery or bewilderment and gives you an erroneous answer."
Animal Message,3,Conjuration,Incantation,Nature,1 hour,A morsel of food and a fossil (27 gp),27 gp,Special,"By means of this incantation, you use an animal to deliver a message. Choose a Tiny beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a location, which you must have visited, and a recipient who matches a general description, such as “a man or woman dressed in the uniform of the town guard” or “a red-haired gnome wearing a pointed hat.” You also speak a message of up to twenty-five words. The target beast travels for the duration of the incantation toward the specified location, covering about 50 miles per 24 hours for a flying messenger, or 25 miles for other animals.  

When the messenger arrives, it delivers your message to the creature that you described, replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn’t reach its destination before the incantation ends, the message is lost, and the beast makes its way back to where you cast this incantation.  

**Nature check:** The duration of the incantation is your Nature check result in hours.   "
Locate Animals or Plants,3,Scrying,Incantation,Nature,1 hour,A bit of fur from a bloodhound and a silver dowsing rod (27 gp),27 gp,Instantaneous,"Describe or name a specific kind of beast or plant. Concentrating on the voice of nature in your surroundings, you learn the direction and distance to the closest creature or plant of that kind within 5 miles, if any are present.  

**Nature check:** With a DC 14 Nature check, you learn a further detail about the beast or plant you described, or the range extends to 10 miles. "
Bonded Companion,5,Practical,Incantation,Nature,8 hours,An item with special significance to both participants,40 gp,Instantaneous,"You perform this incantation over two participants: the master and the bonded companion. You may include yourself in the incancation as the master, if desired.   

The bonded companion follows the Companion rules, as well as the following special rules: 

* If the master takes a move action, the companion can take a move action as well.  
* If the master is incapacitated or not present, the companion gets its full complement of actions without needing to be “commanded”.    
* The companion’s level is equal to the master’s, unless it was already higher.  
* The companion’s maximum HP are equal to the master’s staggered value, unless it was already higher.   
* The companion uses the master’s defenses, except where the companion’s defense is higher.
* The companion has no recoveries of its own, but can use its master’s.   
* Either participant in the incantation can end its effects as a swift action. "
