Name,Description,Details,Power,Powerlc,Ability 1,Ability 2,Ability 3,Speed,Languages,LLV,Darkvision,Skill Bonus 1,Skill Bonus 2,Feat 1 Name,Feat 1 Desc,Feat 2 Name,Feat 2 Desc,Feat 3 Name,Feat 3 Desc
Half-Giant,Medium natural humanoid (giant),,Stomp,stomp,Strength,Constitution,Wisdom,6 squares,"Common, Giant",,,Athletics,Diplomacy,Powerful Build,"You have a +2 ancestry bonus to checks to escape a grapple. When you are the target of any attack or power that has a different effect based on the target’s size, you may choose to be treated as size Large instead of size Medium for the purposes of that attack.  ",Unmoved,"You may reduce any unwilling movement you are subject to by 1 square. When you would fall prone as the result of an attack, make a saving throw – on a success, you do not fall.",,
Hobgoblin,Medium natural humanoid (goblinoid),,Careful Focus,careful focus,Strength,Constitution,Dexterity,6 squares,"Common, Goblin",,,History,Intimidate,Go for the Jugular,+1 ancestry bonus on attacks against staggered enemies.,Heavy Blade Weapon Proficiency,You have proficiency with martial weapons in the heavy blades category.,,
Mephit,"Small elemental humanoid (fire, water, earth or air)","Choose one: fire (resistance to fire), water (resistance to cold), earth (resistance to acid) or air (resistance to lightning and thunder)",Breath Weapon,breath weapon,Dexterity,Intelligence,Charisma,6 squares,"Common, Primordial",,1,Arcana,Religion,Under-Developed Wings,"You have a fly speed of 6, but you fall at the end of your turn and your maximum altitude is 1.",Resistance to X,Resistance to the specified damage type(s) 5 + half your level.,,
Minotaur,Medium natural humanoid,"<figure><img src=""pics\DnD_Minotaur.png"" alt=""Minotaur by LadyofHats"" style=""zoom: 100%;"" /><figcaption>Minotaur by LadyofHats</figcaption></figure>",Momentum Blow,momentum blow,Strength,Intelligence,Wisdom,6 squares,Common and one extra language of your choice.,,1,Dungeoneering,Religion,Maze Mind,"When you are the target of an attack with the Psychic tag, the attacker is rattled (save ends). ",Wandering Charge,"When you charge, you do not need to move in a straight line. ",,
Rook,Medium elemental humanoid (earth),,,,Strength,Constitution,Intelligence,6 squares,"Common, Giant",,,Diplomacy,Endure,Heart of Stone,"You do not make death saving throws. You still die if reduced to negative hit points equal to your maximum hit points.  
While unconscious, you do not need to breathe nor do you get hungrier or thirstier.  ",Will Defense,+1 ancestry bonus to Will defense. ,Rook Power,Each rook has one of the following powers: *soften* or *gargoyle's rest*.
Selkmay,Medium natural humanoid (shapechanger) ,"<figure><img src=""pics\DnD_Nixie.png"" alt=""Nixie by LadyofHats"" style=""zoom: 100%;"" /><figcaption>Nixie by LadyofHats</figcaption></figure>",Supernatural Beauty,supernatural beauty,Dexterity,Wisdom,Charisma,6 squares,Common and one extra language of your choice.,,,Acrobatics,Heal,Tongue of Salt and Spray,You can speak with riverine and ocean-going mammals and water birds. ,Animal Form ,You can use *animal form* once a day.,,
Shadow Elf,Medium shadow humanoid (fey),,Highblood Teleport,highblood teleport,Dexterity,Intelligence,Wisdom,6 squares,"Common, Elven",1,,Bluff,Insight,Minor Magics,You know the *ghost sound* power from the Cantrips discipline.,Trance,"You don’t need to sleep. Instead, you meditate deeply, remaining semiconscious, for 4 hours a day. While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. Your 4-hour trance has the same effect as a 6-hour long rest.",,
Vishya,Medium natural humanoid (reptile),"Vishyas are graceful humanoids with venomous fangs and serpentine eyes. Their supple skin is covered with tiny scales, often of a light green, which are sometimes arrayed in patterns not unlike those of a serpent. ",Poisonous Nip,poisonous nip,Constitution,Dexterity,Charisma,6 squares,"Common, Draconic",1,,Acrobatics,Bluff,Hold Breath,+5 ancestry bonus to Endure checks to hold your breath. ,Swamp Stride,"Mud, marsh and shallows are not difficult terrain for you. ",Whistle,Vishya can communicate using high-pitch whistles that adults cannot hear but dogs and children can. 
Cervitaur,Medium fey humanoid ,,Sleep Dart,sleep dart,Dexterity,Wisdom,Charisma,7 squares,"Common, Elven",1,,Nature,Perception,Woodland Stride,"Shrubbery, trees or plants are not difficult terrain for you. ",,,,
Quickling,Medium fey humanoid ,,Deceptive Motion,deceptive motion,Dexterity,Intelligence,Charisma,7 squares,"Common, Elven",1,,Acrobatics,Stealth,Hide in a Flash,"When you make an initiative check, if you are in cover or concealment, you can make a Stealth check to hide (takes no action).",,,,
Azer,Medium elemental humanoid (fire),,Vengeance of the Pit,vengeance of the pit,Strength,Constitution,Wisdom,"5 squares, but your speed is not reduced by wearing heavy armor or carrying a heavy load.","Common, Primordial",1,,Arcana,Endure,Resistance to Fire,You gain resistance to fire equal to 5 + half your level.,Minor Magics,You know the *fiery spirit* power from the Cantrips discipline.,,
Frogfolk,Small natural humanoid,,Lucky,lucky,Constitution,Dexterity,Charisma,"5 squares, swim 5 squares",Common and one extra language of your choice.,,,Nature,Stealth,Hide in a Flash,"When you make an initiative check, if you are in cover or concealment, you can make a Stealth check to hide (takes no action).",Nimbleness,+2 ancestry bonus to AC against opportunity attacks.,,
Hoddydod (Snailfolk),Small natural humanoid,,Travel Bug,travel bug,Constitution,Intelligence,Wisdom,"5, climb 5",Common and one extra language of your choice.,,,Heal,Nature,Slimy Coating,"After each short rest you gain temporary hit points equal to your Constitution modifier (2 + Con at level 11, 5 + Con at level 21). ",,,,
Deepfolk,Medium cosmic humanoid,,Blinding Mucus,blinding mucus,Dexterity,Wisdom,Charisma,"6 squares, swim 4 squares","Common, Deep Speech",,1,Dungeoneering,Streetsmarts,,,,,,
